author_id,dist
2746,"[0.4412568306010929, 0.0546448087431694, 0.01366120218579235, 0.06557377049180328, 0.006830601092896175, 0.4180327868852459]"
626,"[0.028616852146263912, 0.06995230524642289, 0.16375198728139906, 0.04451510333863275, 0.16216216216216217, 0.5310015898251192]"
3323,"[0.0, 0.2727272727272727, 0.0, 0.0, 0.0, 0.7272727272727273]"
1433,"[0.9766763848396501, 0.0, 0.02040816326530612, 0.0, 0.0, 0.0029154518950437317]"
3016,"[0.0111731843575419, 0.12849162011173185, 0.0446927374301676, 0.0111731843575419, 0.16201117318435754, 0.6424581005586593]"
194,"[0.6949152542372882, 0.0, 0.05084745762711865, 0.05084745762711865, 0.0, 0.2033898305084746]"
207,"[0.4473684210526316, 0.06477732793522267, 0.006072874493927126, 0.04251012145748988, 0.08502024291497975, 0.354251012145749]"
22,"[0.6888888888888889, 0.05555555555555555, 0.05555555555555555, 0.011111111111111112, 0.0, 0.18888888888888888]"
3563,"[0.1689497716894977, 0.0502283105022831, 0.07534246575342465, 0.2328767123287671, 0.0, 0.4726027397260274]"
947,"[0.0, 0.2950191570881226, 0.007662835249042145, 0.21455938697318008, 0.25287356321839083, 0.22988505747126436]"
3157,"[0.031007751937984496, 0.08333333333333333, 0.40891472868217055, 0.04263565891472868, 0.001937984496124031, 0.4321705426356589]"
460,"[0.10810810810810811, 0.07432432432432433, 0.17567567567567569, 0.12837837837837837, 0.0, 0.5135135135135135]"
2520,"[0.0, 0.0, 0.42857142857142855, 0.0, 0.0, 0.5714285714285714]"
1934,"[0.017167381974248927, 0.12875536480686695, 0.22317596566523606, 0.43776824034334766, 0.0, 0.19313304721030042]"
1985,"[0.925, 0.0125, 0.0, 0.0125, 0.0, 0.05]"
2616,"[0.22058823529411764, 0.17647058823529413, 0.11764705882352941, 0.07352941176470588, 0.014705882352941176, 0.39705882352941174]"
1466,"[0.034482758620689655, 0.034482758620689655, 0.0, 0.0, 0.0, 0.9310344827586207]"
2267,"[0.0, 0.0, 0.049019607843137254, 0.0, 0.23529411764705882, 0.7156862745098039]"
2260,"[0.5305466237942122, 0.01607717041800643, 0.028938906752411574, 0.0, 0.0, 0.42443729903536975]"
1658,"[0.045454545454545456, 0.18181818181818182, 0.0, 0.09090909090909091, 0.045454545454545456, 0.6363636363636364]"
2533,"[0.08933002481389578, 0.10918114143920596, 0.052109181141439205, 0.05459057071960298, 0.019851116625310174, 0.674937965260546]"
618,"[0.24060150375939848, 0.13909774436090225, 0.24812030075187969, 0.022556390977443608, 0.07142857142857142, 0.2781954887218045]"
105,"[0.18762886597938144, 0.21855670103092784, 0.02268041237113402, 0.07835051546391752, 0.02268041237113402, 0.47010309278350515]"
2400,"[0.05128205128205128, 0.0, 0.1282051282051282, 0.02564102564102564, 0.0, 0.7948717948717948]"
398,"[0.07692307692307693, 0.038461538461538464, 0.0, 0.0, 0.0, 0.8846153846153846]"
3589,"[0.019807923169267706, 0.013805522208883553, 0.003001200480192077, 0.1326530612244898, 0.004801920768307323, 0.8259303721488596]"
2093,"[0.3333333333333333, 0.0, 0.1111111111111111, 0.05555555555555555, 0.0, 0.5]"
1724,"[0.2222222222222222, 0.0, 0.0, 0.1111111111111111, 0.0, 0.6666666666666666]"
929,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
443,"[0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666]"
1001,"[0.22424242424242424, 0.1787878787878788, 0.0696969696969697, 0.04242424242424243, 0.012121212121212121, 0.4727272727272727]"
3490,"[0.001488095238095238, 0.02976190476190476, 0.043154761904761904, 0.05357142857142857, 0.050595238095238096, 0.8214285714285714]"
74,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.75]"
836,"[0.0989010989010989, 0.14285714285714285, 0.15384615384615385, 0.1978021978021978, 0.02197802197802198, 0.38461538461538464]"
3015,"[0.024691358024691357, 0.024691358024691357, 0.12345679012345678, 0.024691358024691357, 0.6790123456790124, 0.12345679012345678]"
1179,"[0.02168256721595837, 0.006071118820468344, 0.03902862098872507, 0.0, 0.5186470078057241, 0.41457068516912404]"
3376,"[0.03755868544600939, 0.02190923317683881, 0.009389671361502348, 0.004694835680751174, 0.03442879499217527, 0.892018779342723]"
2749,"[0.2, 0.0, 0.05, 0.05, 0.05, 0.65]"
3468,"[0.014705882352941176, 0.0, 0.014705882352941176, 0.0, 0.21323529411764705, 0.7573529411764706]"
259,"[0.0, 0.0, 0.7777777777777778, 0.0, 0.0, 0.2222222222222222]"
2539,"[0.004651162790697674, 0.046511627906976744, 0.09767441860465116, 0.17209302325581396, 0.17209302325581396, 0.5069767441860465]"
1607,"[0.00423728813559322, 0.21610169491525424, 0.012711864406779662, 0.326271186440678, 0.01694915254237288, 0.423728813559322]"
2626,"[0.07692307692307693, 0.23076923076923078, 0.0, 0.0, 0.07692307692307693, 0.6153846153846154]"
2801,"[0.1419753086419753, 0.05555555555555555, 0.16049382716049382, 0.05555555555555555, 0.0, 0.5864197530864198]"
1029,"[0.12162162162162163, 0.22747747747747749, 0.009009009009009009, 0.12725225225225226, 0.018018018018018018, 0.4966216216216216]"
2392,"[0.0, 0.0, 0.023391812865497075, 0.0, 0.0, 0.9766081871345029]"
1840,"[0.4673913043478261, 0.0, 0.0, 0.0, 0.17391304347826086, 0.358695652173913]"
1637,"[0.00516795865633075, 0.00516795865633075, 0.7596899224806202, 0.0, 0.03875968992248062, 0.19121447028423771]"
1812,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1060,"[0.7320574162679426, 0.004784688995215311, 0.19617224880382775, 0.0, 0.004784688995215311, 0.06220095693779904]"
202,"[0.20817120622568094, 0.005836575875486381, 0.40077821011673154, 0.007782101167315175, 0.12062256809338522, 0.25680933852140075]"
2654,"[0.047619047619047616, 0.44047619047619047, 0.047619047619047616, 0.023809523809523808, 0.011904761904761904, 0.42857142857142855]"
2777,"[0.0, 0.033783783783783786, 0.0, 0.18243243243243243, 0.02027027027027027, 0.7635135135135135]"
3562,"[0.009174311926605505, 0.022935779816513763, 0.15137614678899083, 0.016819571865443424, 0.09785932721712538, 0.7018348623853211]"
2603,"[0.06557377049180328, 0.07377049180327869, 0.07377049180327869, 0.10655737704918032, 0.07377049180327869, 0.6065573770491803]"
726,"[0.05, 0.04020618556701031, 0.44072164948453607, 0.0005154639175257732, 0.006185567010309278, 0.4623711340206186]"
2781,"[0.0, 0.0, 0.05555555555555555, 0.05555555555555555, 0.0, 0.8888888888888888]"
2393,"[0.08606294155427104, 0.010276172125883108, 0.45472061657032753, 0.020552344251766216, 0.028259473346178548, 0.40012845215157355]"
1135,"[0.07801418439716312, 0.06382978723404255, 0.14893617021276595, 0.1702127659574468, 0.0, 0.5390070921985816]"
667,"[0.006993006993006993, 0.0008741258741258741, 0.017482517482517484, 0.004370629370629371, 0.7229020979020979, 0.24737762237762237]"
1568,"[0.382089552238806, 0.06567164179104477, 0.04477611940298507, 0.06567164179104477, 0.020895522388059702, 0.4208955223880597]"
2124,"[0.02247191011235955, 0.02247191011235955, 0.3707865168539326, 0.0, 0.0, 0.5842696629213483]"
2327,"[0.32558139534883723, 0.11627906976744186, 0.0, 0.011627906976744186, 0.0, 0.5465116279069767]"
2028,"[0.10526315789473684, 0.11988304093567251, 0.2134502923976608, 0.05847953216374269, 0.014619883040935672, 0.48830409356725146]"
168,"[0.29213483146067415, 0.0, 0.0, 0.0, 0.48314606741573035, 0.2247191011235955]"
1879,"[0.06441717791411043, 0.009202453987730062, 0.046012269938650305, 0.13803680981595093, 0.0, 0.7423312883435583]"
1968,"[0.037383177570093455, 0.044058744993324434, 0.0013351134846461949, 0.1842456608811749, 0.004005340453938585, 0.7289719626168224]"
589,"[0.03125, 0.021875, 0.025, 0.01875, 0.065625, 0.8375]"
1697,"[0.0, 0.008403361344537815, 0.08403361344537816, 0.0, 0.008403361344537815, 0.8991596638655462]"
1989,"[0.05194805194805195, 0.07792207792207792, 0.08441558441558442, 0.42857142857142855, 0.24675324675324675, 0.11038961038961038]"
1969,"[0.00234192037470726, 0.05269320843091335, 0.04918032786885246, 0.15690866510538642, 0.2540983606557377, 0.4847775175644028]"
1730,"[0.12295081967213115, 0.08196721311475409, 0.48360655737704916, 0.0, 0.0, 0.3114754098360656]"
1548,"[0.02531645569620253, 0.02531645569620253, 0.31645569620253167, 0.2088607594936709, 0.06329113924050633, 0.36075949367088606]"
1832,"[0.0, 0.0, 0.5087719298245614, 0.03508771929824561, 0.20175438596491227, 0.2543859649122807]"
976,"[0.1891025641025641, 0.003205128205128205, 0.05128205128205128, 0.0, 0.11538461538461539, 0.6410256410256411]"
2883,"[0.5182481751824818, 0.0, 0.04744525547445255, 0.0, 0.0, 0.4343065693430657]"
2771,"[0.2517482517482518, 0.016317016317016316, 0.027972027972027972, 0.03263403263403263, 0.08391608391608392, 0.5874125874125874]"
743,"[0.06698564593301436, 0.25933014354066986, 0.11578947368421053, 0.0009569377990430622, 0.04114832535885168, 0.5157894736842106]"
2182,"[0.2644889357218124, 0.008429926238145416, 0.06638566912539515, 0.007376185458377239, 0.002107481559536354, 0.6512118018967334]"
3549,"[0.16, 0.04, 0.0, 0.0, 0.0, 0.8]"
2586,"[0.2207943925233645, 0.1133177570093458, 0.011682242990654205, 0.017523364485981307, 0.09462616822429906, 0.5420560747663551]"
3502,"[0.34545454545454546, 0.03939393939393939, 0.17575757575757575, 0.0, 0.00909090909090909, 0.4303030303030303]"
2413,"[0.059782608695652176, 0.266304347826087, 0.03804347826086957, 0.005434782608695652, 0.05434782608695652, 0.5760869565217391]"
2033,"[0.673469387755102, 0.01020408163265306, 0.02040816326530612, 0.11224489795918367, 0.0, 0.1836734693877551]"
2750,"[0.10520833333333333, 0.009375, 0.003125, 0.003125, 0.39895833333333336, 0.48020833333333335]"
2625,"[0.09259259259259259, 0.14938271604938272, 0.024691358024691357, 0.037037037037037035, 0.027160493827160494, 0.6691358024691358]"
2227,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
544,"[0.5185185185185185, 0.0, 0.037037037037037035, 0.0, 0.0, 0.4444444444444444]"
1663,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
670,"[0.1702127659574468, 0.19148936170212766, 0.0, 0.02127659574468085, 0.10638297872340426, 0.5106382978723404]"
2505,"[0.0, 0.39473684210526316, 0.043859649122807015, 0.043859649122807015, 0.06140350877192982, 0.45614035087719296]"
3037,"[0.38202247191011235, 0.0, 0.17466802860061287, 0.15423901940755874, 0.013278855975485188, 0.27579162410623087]"
1545,"[0.6163522012578616, 0.025157232704402517, 0.10062893081761007, 0.006289308176100629, 0.0, 0.25157232704402516]"
835,"[0.03488372093023256, 0.15503875968992248, 0.03488372093023256, 0.17829457364341086, 0.05426356589147287, 0.5426356589147286]"
2547,"[0.04225352112676056, 0.1267605633802817, 0.07042253521126761, 0.056338028169014086, 0.0, 0.704225352112676]"
696,"[0.0051813471502590676, 0.0, 0.0, 0.0, 0.0, 0.9948186528497409]"
1339,"[0.17777777777777778, 0.05555555555555555, 0.0, 0.0, 0.0, 0.7666666666666667]"
1385,"[0.010638297872340425, 0.013297872340425532, 0.018617021276595744, 0.886968085106383, 0.005319148936170213, 0.06515957446808511]"
1508,"[0.0761904761904762, 0.039285714285714285, 0.007142857142857143, 0.18571428571428572, 0.14761904761904762, 0.544047619047619]"
596,"[0.3743455497382199, 0.0, 0.0, 0.0, 0.0, 0.6256544502617801]"
914,"[0.11029411764705882, 0.08823529411764706, 0.0, 0.0, 0.0, 0.8014705882352942]"
1419,"[0.6947115384615384, 0.002403846153846154, 0.10737179487179487, 0.029647435897435896, 0.0008012820512820513, 0.16506410256410256]"
1830,"[0.07692307692307693, 0.06153846153846154, 0.38974358974358975, 0.0, 0.03076923076923077, 0.441025641025641]"
3186,"[0.1875, 0.125, 0.125, 0.0, 0.0, 0.5625]"
3343,"[0.11301369863013698, 0.02054794520547945, 0.3778538812785388, 0.0, 0.0, 0.4885844748858447]"
1028,"[0.10059171597633136, 0.10059171597633136, 0.13609467455621302, 0.005917159763313609, 0.15976331360946747, 0.4970414201183432]"
3595,"[0.032327586206896554, 0.3081896551724138, 0.01939655172413793, 0.034482758620689655, 0.021551724137931036, 0.584051724137931]"
179,"[0.021634615384615384, 0.18269230769230768, 0.028846153846153848, 0.19230769230769232, 0.002403846153846154, 0.5721153846153846]"
2178,"[0.012237762237762238, 0.3173076923076923, 0.011363636363636364, 0.02972027972027972, 0.021853146853146852, 0.6075174825174825]"
1809,"[0.2814645308924485, 0.018306636155606407, 0.0, 0.013729977116704805, 0.12814645308924486, 0.5583524027459954]"
